sample_name	region	bin_num	C_number	T_number	Methylation_level
D1-5	Body	6	4323749	2645486	0.620405109025596
D1-5	Body	60	4423202	3611218	0.550531587843304
D1-5	Body	7	4333247	2588393	0.62604339434007
D1-5	Body	8	4244502	2517161	0.627730485828708
D1-5	Body	9	4204471	2431988	0.633541320755541
D1-5	Downstream	61	485810	492130	0.496768717917255
D1-5	Downstream	62	432483	508022	0.459841255495718
D1-5	Downstream	63	409833	499822	0.450536741951619
D1-5	Downstream	64	401520	518584	0.43638545207933
D1-5	Downstream	65	422945	500743	0.457887295277193
D1-5	Downstream	66	437498	501876	0.465733562989821
D1-5	Downstream	67	459510	486371	0.48580106799904
D1-5	Downstream	68	463730	487137	0.48769175920502
D1-5	Downstream	69	484873	457350	0.514605353509732
D1-5	Downstream	70	496845	444656	0.527715849478652
D1-5	Downstream	71	492969	421121	0.53930028771784
D1-5	Downstream	72	515581	428193	0.54629710078896
D1-5	Downstream	73	533526	421519	0.558639645252318
D1-5	Downstream	74	518089	415465	0.554964147762208
D1-5	Downstream	75	521308	400050	0.565803954597453
D1-5	Downstream	76	527804	396953	0.570748856186003
D1-5	Downstream	77	517772	394631	0.567481693944452
D1-5	Downstream	78	536397	393576	0.576787713191673
D1-5	Downstream	79	547620	411147	0.571171097878838
D1-5	Downstream	80	532916	399734	0.571399774835147
D1-5	Upstream	-1	415576	488456	0.459691692329475
D1-5	Upstream	-10	504384	440381	0.533872444470318
D1-5	Upstream	-11	494414	427369	0.53636701913574
D1-5	Upstream	-12	514659	420301	0.550460982288012
D1-5	Upstream	-13	514029	417535	0.551791395974941
D1-5	Upstream	-14	532332	410932	0.564351019438885
D1-5	Upstream	-15	537552	410800	0.566827507085977
D1-5	Upstream	-16	530989	414264	0.561742729195252
D1-5	Upstream	-17	530646	401914	0.569020760058334
D1-5	Upstream	-18	531864	406909	0.566552297520274
D1-5	Upstream	-19	541244	411862	0.56787387761697
D1-5	Upstream	-2	407236	498607	0.449565763603627
D1-5	Upstream	-3	412808	505270	0.449643712190032
D1-5	Upstream	-4	425779	490975	0.464441933168549
D1-5	Upstream	-5	440770	480992	0.478182003597458
D1-5	Upstream	-6	463981	479955	0.491538621262458
D1-5	Upstream	-7	462206	457064	0.502796784405017
D1-5	Upstream	-8	484273	454313	0.515960178396013
